Threads,Concurrency,File_k,50th_latency,99th_latency,1st Throughput,2stThreads,2stConcurrency,2st File_k,2st 50th_latency,2st 99th_latency,2st Throughput,,Ratio of increasing
4,20,1,0.35,3.28,33165.1,4,20,1,0.41,3.13,43450.18,,0.236709721
4,100,1,1.75,6.5,49702.72,4,100,1,1.1,6.87,69903.5,,0.288980952
4,500,1,143.55,853.79,2117.08,4,500,1,4.43,104.61,71658.23,,0.970455871
4,1000,1,260.49,3918.67,1983.97,4,1000,1,10.35,428.88,43110.59,,0.953979521
10,20,1,0.35,3.55,33032.99,10,20,1,0.4,2.58,46175.21,,0.284616356
10,100,1,1.7,6.55,51063.23,10,100,1,1.36,5.6,65738.06,,0.223231869
10,500,1,144.71,885.43,2121.23,10,500,1,4.42,109.17,72093.47,,0.970576669
10,1000,1,229.7,6911.06,1998.02,10,1000,1,10.67,439.38,43525.12,,0.954095015
20,20,1,0.36,3.37,32814.94,20,20,1,0.24,0.52,47370.1,,0.307264709
20,100,1,1.7,58.56,50498.74,20,100,1,1.08,5.41,73098.12,,0.309164996
20,500,1,143.58,847.2,2153.69,20,500,1,4.45,105.54,71771.68,,0.969992482
20,1000,1,246.04,8559.59,2099.62,20,1000,1,10.7,444.99,43707.49,,0.951962009
4,20,11,0.57,4.03,21371.52,4,20,11,0.37,3.14,46719.77,,0.542559392
4,100,11,2.47,10.29,35986.03,4,100,11,1.03,17.84,59421.63,,0.394395105
4,500,11,7.23,181.49,31740.77,4,500,11,6.56,14.15,54027.11,,0.412502908
4,1000,11,10.53,13828.4,29061.67,4,1000,11,12.91,907.24,38795.22,,0.2508956
10,20,11,0.45,3.61,27910.5,10,20,11,0.28,2.56,51533.16,,0.458397273
10,100,11,2.49,9.37,36690.47,10,100,11,0.74,17.42,67964.06,,0.460148938
10,500,11,7.3,139.52,33408.59,10,500,11,7.01,14.71,51817.39,,0.355262973
10,1000,11,7.43,8201.43,31698.66,10,1000,11,13.18,491.67,38708.56,,0.181094311
20,20,11,0.41,3.47,29674.39,20,20,11,0.36,0.49,47790.77,,0.379076964
20,100,11,2.48,10.16,36747.03,20,100,11,1.26,18.05,61924.32,,0.406581614
20,500,11,9.2,159.26,31970.99,20,500,11,7.03,14.78,51532.13,,0.379591141
20,1000,11,7.47,8646.85,29904.21,20,1000,11,13.29,503.06,38640.13,,0.226084125
4,20,111,1.98,8.23,7723.35,4,20,111,1.77,4.78,9904.44,,0.220213359
4,100,111,12.95,44.44,6818.35,4,100,111,11.09,29.03,8188.99,,0.167375952
4,500,111,79.5,498.53,6423.18,4,500,111,78.73,167.71,7453.13,,0.138190264
4,1000,111,85.04,5212.47,6332.06,4,1000,111,81.26,2588.9,7421.19,,0.146759482
10,20,111,1.96,7.98,7732.98,10,20,111,1.77,5.11,9849.03,,0.214848569
10,100,111,11.72,48.21,7157.47,10,100,111,11.23,30.61,8351.39,,0.142960633
10,500,111,78.84,515.91,6163.72,10,500,111,80.2,167.23,7309.84,,0.156791394
10,1000,111,88.7,4125.81,6266.37,10,1000,111,81.29,2905.04,7297.92,,0.141348494
20,20,111,1.96,7.54,7720.63,20,20,111,1.78,5.09,9856.51,,0.216697391
20,100,111,11.68,45.61,7184.8,20,100,111,11.3,30.51,8337.66,,0.138271409
20,500,111,84.87,405.9,6368.73,20,500,111,79.95,167.22,7277.4,,0.124861901
20,1000,111,89.67,3987.45,6317.2,20,1000,111,81.72,3077.17,7276.5,,0.13183536

