Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,5000,11,1.04,1.97,4999.72
20,100,5000,11,1.04,1.94,4999.78
20,100,10000,11,0.98,2.02,9997.45
20,100,10000,11,0.96,2.01,9997.77
20,100,20000,11,0.92,1.91,19994.52
20,100,20000,11,0.93,1.89,19993.31
20,100,30000,11,1.00,1.98,29991.78
20,100,30000,11,1.00,1.97,29991.72
20,100,40000,11,0.90,1.90,39987.88
20,100,40000,11,0.88,1.90,39988.62
20,100,50000,11,0.96,1.98,49985.54
20,100,50000,11,0.96,2.02,49986.04
20,100,60000,11,0.98,2.27,59982.31
20,100,60000,11,0.99,4.28,59982.43
20,100,70000,11,1.01,2.82,69979.55
20,100,70000,11,1.01,5.09,69979.62
20,100,80000,11,1.09,5.23,79975.98
20,100,80000,11,1.11,6.18,79975.93
20,100,90000,11,1.17,8.25,89973.20
20,100,90000,11,1.18,7.44,89973.12
20,100,100000,11,1.21,54.08,99968.92
20,100,100000,11,1.23,8.54,99969.06
20,100,110000,11,1.25,11.18,109966.81
20,100,110000,11,1.29,11.07,87732.79
20,100,120000,11,1.23,11.38,119765.30
20,100,120000,11,1.48,16.59,69251.51
